proj,chip,experiment,max_reward,min_reward,mean_reward,n_episodes
25-02-2025_cp_drugs_gpu,25178ic,drug1/drug1_cartpole_F_6,150.0,11.0,23.8,117.0
25-02-2025_cp_drugs_gpu,25123ic,full1/full1_cartpole_F_14,149.0,11.0,27.0,102.0
24-03-25_plasticity,p001237,exp3/exp3_cartpole_long_3,149.0,11.0,33.1,89.0
2024-05-06_butterfly,22097,dmso/dmso_cartpole_long_11,149.0,12.0,40.1,79.0
25-02-2025_cp_drugs_gpu,25123ic,full1/full1_cartpole_F_9,148.0,11.0,26.7,102.0
25-02-2025_cp_drugs_gpu,25178ic,full3/full3_cartpole_F_1,147.0,10.0,37.9,82.0
24-05-18_plasticity,22097,Bl1/Bl1_cartpole_long_18,146.0,10.0,31.1,94.0
24-03-25_plasticity,p001237,exp6/exp6_cartpole_long_3,145.0,10.0,46.8,70.0
24-04-18_butterfly,p001237,exp2/exp2_cartpole_long_12,144.0,10.0,27.4,101.0
24-05-18_plasticity,22097,Bl1/Bl1_cartpole_long_13,143.0,10.0,41.3,78.0
24-04-18_butterfly,23138,RL_pharma/RL_pharma_cartpole_long_14,143.0,11.0,23.4,112.0
24-04-18_butterfly,23138,exp1/exp1_cartpole_long_12,141.0,12.0,44.8,72.0
23-11-30_cartpole,P001515,exp1/exp1_cartpole_long_7,141.0,11.0,29.9,115.0
24-05-18_plasticity,22097,Bl1/Bl1_cartpole_long_14,140.0,11.0,42.8,75.0
24-03-25_plasticity,p001237,exp8/exp8_cartpole_long_6,140.0,10.0,20.2,121.0
24-04-18_butterfly,23133,exp1/exp1_cartpole_long_4,139.0,10.0,19.6,126.0
24-04-18_butterfly,23138,RL_pharma/RL_pharma_cartpole_long_3,138.0,11.0,46.0,71.0
24-01-07_data,20217,exp4/exp4_cartpole_long_10,137.0,10.0,28.0,119.0
24-05-18_plasticity,22097,Bl1/Bl1_cartpole_long_9,137.0,10.0,27.6,102.0
23-11-30_cartpole,22064,exp3/exp3_cartpole_2,137.0,12.0,34.4,100.0
24-05-18_plasticity,22097,Bl1/Bl1_cartpole_long_17,136.0,10.0,38.7,81.0
24-04-18_butterfly,23186,RL_only/RL_only_cartpole_long_3,136.0,12.0,41.1,78.0
23-11-30_cartpole,22064,long_exp_2/long_exp_2_cartpole_long_11,135.0,10.0,17.5,200.0
24-03-25_plasticity,p001237,exp3/exp3_cartpole_long_13,135.0,10.0,24.9,108.0
24-03-25_plasticity,p001237,exp6/exp6_cartpole_long_10,134.0,11.0,45.6,72.0
24-04-18_butterfly,23138,RL_pharma/RL_pharma_cartpole_long,134.0,10.0,19.2,124.0
23-11-30_cartpole,22064,long_exp_3/long_exp_3_cartpole_long_1,132.0,10.0,34.8,104.0
24-01-07_data,P001237,exp2/exp2_cartpole_long_3,131.0,11.0,33.5,110.0
24-04-18_butterfly,p001237,exp2/exp2_cartpole_long_8,131.0,10.0,21.3,115.0
2024-05-06_butterfly,22097,dmso/dmso_cartpole_long,131.0,11.0,34.6,87.0
23-11-30_cartpole,22064,long_exp_3/long_exp_3_cartpole_long_4,130.0,9.0,21.8,146.0
24-03-25_plasticity,p001237,RL_pharma/RL_pharma_cartpole_long_18,128.0,10.0,27.9,101.0
24-04-18_butterfly,p001237,exp2/exp2_cartpole_long,127.0,12.0,41.9,75.0
24-05-18_plasticity,22097,Bl1/Bl1_cartpole_long_8,127.0,10.0,32.6,91.0
24-01-07_data,22064,exp1/exp1_cartpole_long,127.0,11.0,30.3,117.0
24-03-25_plasticity,p001346,exp1/exp1_cartpole_F,126.0,11.0,25.6,100.0
24-05-18_plasticity,22097,Bl1/Bl1_cartpole_long_7,126.0,10.0,33.4,90.0
24-03-25_plasticity,p001237,exp8/exp8_cartpole_long_13,125.0,11.0,29.8,96.0
24-03-25_plasticity,p001237,exp3/exp3_cartpole_long_21,122.0,10.0,34.5,87.0
24-03-25_plasticity,p001346,exp1/exp1_cartpole_long_6,122.0,10.0,15.5,186.0
24-05-18_plasticity,22097,Bl1/Bl1_cartpole_long_11,121.0,10.0,27.6,102.0
24-01-07_data,22064,exp1/exp1_cartpole_long_2,121.0,10.0,25.5,129.0
24-05-18_plasticity,22097,Bl1/Bl1_cartpole_long_4,121.0,11.0,33.3,90.0
24-03-25_plasticity,p001237,exp3/exp3_cartpole_long_4,121.0,10.0,21.7,117.0
24-04-18_butterfly,23138,RL_pharma/RL_pharma_cartpole_long_1,120.0,10.0,20.6,119.0
24-04-18_butterfly,23186,RL_only/RL_only_cartpole_long_4,120.0,12.0,32.4,91.0
24-05-18_plasticity,22097,Bl1/Bl1_cartpole_long_12,119.0,10.0,28.0,101.0
23-11-30_cartpole,22064,long_exp_2/long_exp_2_cartpole_long_1,117.0,10.0,17.0,200.0
24-03-25_plasticity,p001237,exp7/exp7_cartpole_long,116.0,10.0,28.5,99.0
24-04-18_butterfly,23138,exp1/exp1_cartpole_long_11,116.0,12.0,29.3,97.0
25-02-2025_cp_drugs_gpu,25123ic,full1/full1_cartpole_F_4,115.0,11.0,27.9,100.0
24-03-25_plasticity,p001237,exp8/exp8_cartpole_long_1,115.0,10.0,26.2,104.0
23-11-30_cartpole,22064,long_exp_3/long_exp_3_cartpole_long_17,115.0,10.0,22.0,141.0
2024-05-06_butterfly,22097,dmso/dmso_cartpole_long_7,113.0,11.0,28.7,99.0
25-02-2025_cp_drugs_gpu,25178ic,full3/full3_cartpole_F_2,113.0,10.0,24.5,109.0
24-04-18_butterfly,23138,Rl_only2/Rl_only2_cartpole_long_13,113.0,13.0,28.9,98.0
25-02-2025_cp_drugs_gpu,25178ic,drug4/drug4_cartpole_F_1,112.0,14.0,27.9,100.0
24-04-18_butterfly,23133,exp1/exp1_cartpole_long_19,110.0,10.0,19.7,124.0
24-01-07_data,20217,exp4/exp4_cartpole_long_7,108.0,11.0,23.5,141.0
24-01-07_data,P001237,exp1/exp1_cartpole_long_6,106.0,12.0,27.0,123.0
24-05-18_plasticity,22097,Bl1/Bl1_cartpole_long_1,105.0,10.0,33.6,90.0
24-04-18_butterfly,23138,Rl_only2/Rl_only2_cartpole_long_7,104.0,12.0,29.7,96.0
24-04-18_butterfly,23138,Rl_only2/Rl_only2_cartpole_long_17,104.0,11.0,28.3,99.0
24-03-25_plasticity,p001237,exp8/exp8_cartpole_long_7,103.0,10.0,25.4,105.0
25-02-2025_cp_drugs_gpu,25178ic,drug1/drug1_cartpole_F_9,102.0,12.0,22.4,108.0
24-01-07_data,20217,exp1/exp1_cartpole_long,100.0,10.0,22.4,141.0
25-02-2025_cp_drugs_gpu,25178ic,full3/full3_cartpole_F_3,99.0,12.0,26.2,104.0
24-04-18_butterfly,23138,exp1/exp1_cartpole_long_5,99.0,10.0,20.2,121.0
24-01-07_data,P001237,exp2/exp2_cartpole_long_1,98.0,33.0,44.9,82.0
24-04-18_butterfly,23138,Rl_only2/Rl_only2_cartpole_long_12,98.0,10.0,24.6,109.0
24-01-07_data,P001237,exp1/exp1_cartpole_long_8,98.0,12.0,28.7,121.0
24-04-18_butterfly,23138,Rl_only2/Rl_only2_cartpole_long_8,97.0,12.0,28.7,98.0
24-01-07_data,P001237,exp1/exp1_cartpole_long_3,97.0,11.0,27.9,121.0
24-03-25_plasticity,p001237,exp5/exp5_cartpole_F_6,96.0,10.0,23.2,200.0
24-04-18_butterfly,23138,Rl_only2/Rl_only2_cartpole_long,96.0,11.0,27.4,102.0
24-04-18_butterfly,23133,exp1/exp1_cartpole_long_9,96.0,11.0,25.8,107.0
24-04-18_butterfly,23138,Rl_only2/Rl_only2_cartpole_long_4,95.0,10.0,24.9,108.0
24-05-24,23134,dmso/dmso_cartpole_long_1,95.0,10.0,17.8,132.0
23-11-30_cartpole,P001515,exp1/exp1_cartpole_long_3,94.0,11.0,20.6,149.0
23-11-30_cartpole,22064,long_exp_3/long_exp_3_cartpole_long_7,94.0,10.0,30.3,114.0
2024-05-06_butterfly,22097,dmso/dmso_cartpole_long_3,93.0,10.0,22.4,115.0
24-04-18_butterfly,23133,exp1/exp1_cartpole_long_6,93.0,10.0,25.6,107.0
24-04-18_butterfly,23133,exp1/exp1_cartpole_long_15,93.0,10.0,23.7,112.0
24-05-18_plasticity,22097,Bl1/Bl1_cartpole_long_10,93.0,10.0,27.8,100.0
25-02-2025_cp_drugs_gpu,25123ic,full1/full1_cartpole_F_13,93.0,10.0,24.4,109.0
24-05-24,23134,2d_rl/2d_rl_cartpole_long_10,92.0,13.0,34.8,87.0
24-05-18_plasticity,22097,Bl1/Bl1_cartpole_long_19,92.0,10.0,22.0,117.0
24-03-25_plasticity,p001237,exp5/exp5_cartpole_F_4,92.0,10.0,18.4,200.0
24-04-18_butterfly,23133,exp1/exp1_cartpole_long_13,91.0,10.0,26.8,104.0
24-01-07_data,P001237,exp1/exp1_cartpole_long_9,90.0,10.0,22.6,141.0
24-03-25_plasticity,p001237,exp3/exp3_cartpole_long_14,90.0,10.0,20.9,119.0
24-04-18_butterfly,23138,exp1/exp1_cartpole_long_20,90.0,10.0,17.4,132.0
23-11-30_cartpole,22064,exp7/exp7_cartpole_7,89.0,10.0,20.7,300.0
23-11-30_cartpole,22064,long_exp_3/long_exp_3_cartpole_long_13,89.0,10.0,19.7,156.0
23-11-30_cartpole,22064,exp7/exp7_cartpole_5,89.0,10.0,19.4,300.0
24-01-07_data,20217,exp4/exp4_cartpole_long_9,89.0,11.0,23.4,135.0
24-03-25_plasticity,p001237,exp8/exp8_cartpole_long_4,89.0,11.0,28.8,98.0
25-02-2025_cp_drugs_gpu,25178ic,drug4/drug4_cartpole_F_2,89.0,13.0,28.4,99.0
23-11-30_cartpole,22064,long_exp_3/long_exp_3_cartpole_long_14,88.0,10.0,21.9,146.0
24-03-25_plasticity,p001384,exp2/exp2_cartpole_F,88.0,14.0,27.0,23.0
24-03-25_plasticity,p001280,RL_pharma/RL_pharma_cartpole_long_4,88.0,10.0,29.1,98.0
24-05-18_plasticity,22097,Bl1/Bl1_cartpole_long_21,88.0,10.0,17.2,134.0
24-03-25_plasticity,p001237,exp8/exp8_cartpole_long_8,87.0,10.0,19.9,122.0
24-05-24,21985,dmso/dmso_cartpole_long_2,87.0,10.0,16.6,135.0
